distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PRR,cumulative_PIR
230.0,23,11,0,2,4,0.9282953504878256,0.107724335738027,0.976849452926419,0.102410778752126
240.0,23,11,0,2,4,0.916308687165332,0.1091335282538435,0.9744278222959756,0.1026796887321947
250.0,23,11,0,2,4,0.9057760153341852,0.1104025700692738,0.9717873681820604,0.1029767226297746
260.0,23,11,0,2,4,0.8963031870360378,0.1115693901866928,0.9689916577692448,0.1032949695763272
270.0,23,11,0,2,4,0.8842578110791838,0.113089190445438,0.9659654489588856,0.1036447631787954
280.0,23,11,0,2,4,0.8736674958600074,0.1144600210879581,0.9627827609209932,0.1040177031066975
290.0,23,11,0,2,4,0.8617246847445628,0.1160463449293466,0.9594141583817788,0.1044186578341192
300.0,23,11,0,2,4,0.8484516675791416,0.1178617519667639,0.9558347231945972,0.1048523060319464
310.0,23,11,0,2,4,0.8347989673331084,0.1197893192410924,0.9520523558239254,0.1053190876947322
320.0,23,11,0,2,4,0.821113946161314,0.1217857770745429,0.9480845252280888,0.1058180782819992
330.0,23,11,0,2,4,0.8102349305633121,0.1234209933783964,0.9440301253850072,0.1063358110789521
340.0,23,11,0,2,4,0.7942261451379243,0.1259087233682468,0.939750011663662,0.1068950371443605
350.0,23,11,0,2,4,0.7856943320273049,0.1272759595222901,0.9354706872293188,0.1074611738770808
360.0,23,11,0,2,4,0.7730906923436367,0.1293509299624969,0.9310820387188948,0.1080527889064163
370.0,23,11,0,2,4,0.7624983695753442,0.1311478214119889,0.9266456263730118,0.1086605529197209
380.0,23,11,0,2,4,0.7470930342554649,0.13385213810708,0.9220417137546132,0.109306491001448
390.0,23,11,0,2,4,0.7373076591835563,0.1356285924260343,0.9174233623903368,0.1099645435370627
400.0,23,11,0,2,4,0.7271647375884419,0.1375204198317406,0.912782908126876,0.1106366380808353
410.0,23,11,0,2,4,0.7143713421989248,0.1399832189407086,0.9080588232238296,0.1113353661965466
420.0,23,11,0,2,4,0.7016578504313546,0.1425196054437693,0.9032588006007486,0.1120605810627611
430.0,23,11,0,2,4,0.6906080823555096,0.144799927129324,0.8984258297315386,0.1128046571097284
440.0,23,11,0,2,4,0.681084727767394,0.1468246106880145,0.8935960274656689,0.1135606560781348
450.0,23,11,0,2,4,0.6680676857950972,0.1496854317702637,0.888693237429352,0.1143459772888332
460.0,23,11,0,2,4,0.6550004797862368,0.1526716438935061,0.8837210510965199,0.1151614170038263
470.0,23,11,0,2,4,0.648234884190064,0.1542650703300931,0.8788150892859686,0.1159760764481235
480.0,23,11,0,2,4,0.6346206529040683,0.1575744494642477,0.8738315293598073,0.1168250228362077
490.0,23,11,0,2,4,0.6222010783380907,0.1607197471709654,0.8687989203393731,0.1177029173229028
0.0,23,11,1,2,4,0.9987693569890268,0.1001232159359277,0.9987693569890268,0.1001232159359277
10.0,23,11,1,2,4,0.9969321493702384,0.1003077291299813,0.9978507531796326,0.1002154725329545
20.0,23,11,1,2,4,0.9944120209255825,0.1005619380052562,0.9967045090949492,0.1003309610237217
30.0,23,11,1,2,4,0.9921709419759698,0.1007890835835645,0.9955711173152044,0.1004454916636824
40.0,23,11,1,2,4,0.989543441176326,0.1010567053843784,0.9943655820874288,0.1005677344078216
50.0,23,11,1,2,4,0.9873517906113888,0.1012810235935035,0.993196616841422,0.1006866159387686
60.0,23,11,1,2,4,0.9849127876693404,0.1015318323124183,0.9920132126739818,0.1008073611350043
70.0,23,11,1,2,4,0.9826883435468377,0.1017616629490769,0.9908476040330888,0.1009266488617633
80.0,23,11,1,2,4,0.9798321080348298,0.1020583007843679,0.9896236600332824,0.101052387964275
90.0,23,11,1,2,4,0.9773277502854968,0.102319820521609,0.9883940690585036,0.1011791312200084
100.0,23,11,1,2,4,0.9741781281842984,0.1026506314470259,0.9871017107972122,0.1013129039679191
110.0,23,11,1,2,4,0.9720857402397955,0.1028715841211001,0.9858503799174276,0.1014427939806841
120.0,23,11,1,2,4,0.9680983363311751,0.1032952916528834,0.9844848381031004,0.1015852938016226
130.0,23,11,1,2,4,0.9640866592487048,0.1037251154143427,0.9830278253277864,0.1017381382025311
140.0,23,11,1,2,4,0.9590216830149716,0.1042729291433954,0.9814274158402656,0.1019071242652554
150.0,23,11,1,2,4,0.9552698826597132,0.1046824586593002,0.979792570016481,0.1020805826648832
160.0,23,11,1,2,4,0.9506730513434424,0.1051886343666575,0.9780796571533612,0.1022634092355758
170.0,23,11,1,2,4,0.9449750788322652,0.1058228965398464,0.9762405139133,0.1024611585302575
180.0,23,11,1,2,4,0.9369644330392618,0.1067276371159861,0.9741733517620348,0.1026857100347695
190.0,23,11,1,2,4,0.9291065542189306,0.1076302815278993,0.97192001188488,0.102932938609426
200.0,23,11,1,2,4,0.9178665217785024,0.1089483030781373,0.9693460361655284,0.1032193845365075
210.0,23,11,1,2,4,0.9050999844985274,0.1104850311707885,0.9664257610897558,0.1035496412017021
220.0,23,11,1,2,4,0.8963228614785216,0.1115669412192007,0.9633778089327456,0.1038982194633325
230.0,23,11,1,2,4,0.882365226184784,0.1133317554142349,0.9600022846515804,0.1042912834612868
240.0,23,11,1,2,4,0.8686011771462897,0.1151276358253864,0.9563462403513688,0.1047247375558507
250.0,23,11,1,2,4,0.8537639193608478,0.1171283978302372,0.952400766467118,0.1052018014125579
260.0,23,11,1,2,4,0.8370459740216615,0.119467751000033,0.948128366746916,0.1057301699157977
270.0,23,11,1,2,4,0.8190870289120166,0.1220871488257222,0.9435197475385266,0.1063143477340093
